_id	yomi	wordJpn	wordLao	typeLaoScript
2147	きる	着る	ນຸ່ງ	nung1
2148	きる	切る	ມອດ	moht
2149	きるぎす	キルギス	ກຽກກີດສະຖານ	kiak kiit sa htaan
2150	きれ	（何）切れ	(ຈັກ)ຊີ້ນ	xiin2
2151	きれ	（何）切れ	(ຈັກ)ປ່ຽງ	piang1
2152	きれ	布	ຜ້າ	hpaa2
2153	きれい	綺麗	ງາມ	ngaam
2154	きれい	綺麗	ສະອາດ	sa aat
2155	きれいに	綺麗に	ຮຽບຮ້ອຍ	hiap hohy2
2156	きれる	切れる	ຂາດ	hkaat
2157	きれる	切れる	ຄົມ	khom
2158	きれる	切れる	ສາມາດຕັດ	saa maat tat
2159	きろ	（何）キロ	(ຈັກ)ກິໂລກາມ	ki loo kaam
2160	きろ	（何）キロ	(ຈັກ)ກິໂລແມັດ	ki loo me't
2161	きろ	（何）キロ	(ຈັກ)ໂລ	loo
2162	きろく	記録	ຈົດ	jot
2163	きろく	記録	ບັນທຶກ	ban thuek
2164	ぎろん	議論	ປຶກສາ	puek saa
2165	きをうしなう	気を失う	ສະຫລົບ	sa hlop
2166	きをうしなう	気を失う	ຫມົດສະຕິ	hmot sa ti
2167	きをうしなう	気を失う	ເປັນລົມ	pen lom
2168	きをつけて	気を付けて	ລະວັງ	la wang
2169	きをつける	気をつける	ລະວັງ	la wang
2170	きん	金	ຄຳ	kham
2171	ぎん	銀	ເງິນ	ngoen
2172	きんいろ	金色	ສີຄຳ	sii kham
2173	ぎんいろ	銀色	ສີເງິນ	aii ngoen
2174	きんえん	禁煙⇒喫煙ｷﾂｴﾝを禁止ｷﾝｼする	ຫ້າມສູບຢາ	hhaam2 suup yaa
2175	きんえん	禁煙	ເຊົາສູບຢາ	xao suup yaa
2176	きんえんせき	禁煙席	ບ່ອນນັ່ງຫ້າມສູບຢາ	bohn1 nang1 hhaam2 suup yaa
2177	ぎんが	銀河	ທາງຊ້າງເຜືອກ	thaang xaang2 hpeuak
2178	きんがく	金額	ຈຳນວນເງິນ	jam nuan ngoen
2179	きんがしんねん	謹賀新年	ສະບາຍດີປີໃຫມ່	sa baay dii pii hmay1
2180	きんがん	近眼	ສາຍຕາສັ້ນ	saay taa san2
2181	きんきゅうに	緊急	ສຸກເສີນ	suk sern
2182	きんぎょ	金魚/キンギョ	ປາຄຳ	paa kham
2183	きんこ	金庫	ຕູ້ເຊັບ	tuu2 xep
2184	ぎんこう	銀行	ທະນາຄານ	tha naa khaan
2185	ぎんこういん	銀行員	ພະນັກງານທະນາຄານ	pha nak ngaan tha naa khaan
2186	ぎんこうこうざ	銀行口座	ບັນຊີທະນາຄານ	ban xii tha naa khaan
2187	きんし	近視	ສາຍຕາສັ້ນ	saay taa san2
2188	きんし	禁止	ຫ້າມ	hhaam2
2189	きんじつちゅう	近日中	ໃນໄວໆນີ້	nay wai # nii2
2190	きんじょ	近所	ບໍລິເວນໃກ້ຄຽງ	boh li ween kay2 khiang
2191	きんじる	禁じる	ຫ້າມ	hhaam2
2192	きんせい	金星	ດາວສຸກ	daaw suk
2193	きんぞく	金属	ໂລຫະ	loo hha
2194	きんだいか	近代化	ພັດທະນາ	phat tha naa
2195	きんちょう	緊張	ຄວາມເຄັ່ງຕຶງ	khwaam kheng1 tueng
2196	きんちょう	緊張	ເຄັ່ງຕຶງ	kheng1 tueng
2197	きんにく	筋肉	ກ້າມຊີ້ນ	kaam2 xiin2
2198	きんぱつ	金髪	ຜົມສີທອງ	hpom sii thohng
2199	きんぷん	金粉	ຜົງທອງຄຳ	hpong thohng kham
2200	きんべん	勤勉	ຂະຫຍັນ	hka hyan
2201	きんべん	勤勉	ດຸຫມັ່ນ	du hman1
2202	きんべん	勤勉	ຫມັ່ນ	hman1
2203	きんむ	勤務	ເຂົ້າຮ່ວມວຽກ	hkao2 huam1 wiak
2204	きんむ	勤務	ເຮັດການ	het kaan
2205	きんむさき	勤務先	ບ່ອນເຮັດການ	bohn1 het kaan
2206	きんめっき	金メッキ	ຊຸບທອງ	xup thohng
2207	きんよう	金曜（日）	ວັນສຸກ	wan suk
2208	く	く	ຢ່າງ	yaang1
2209	く	句	ວະລີ	wa lii
2210	く	九（=９）	ເກົ້າ	kao2
2211	く	区	ເມືອງ	meuang
2212	く	く	ໃຫ້	hhay2
2213	ぐあい	具合	ສະພາບ	sa phaap
2214	ぐあてまら	グアテマラ	ກົວເຕມາລາ	kua tee maa la
2215	ぐあば	グアバ	ຫມາກສີດາ	hmaak sii daa
2216	くいしんぼう	食いしん坊	ຄົນມັກກິນ	khon mak kin
2217	くいず	クイズ	ແກມຕໍ່ໂຕຫນັງສື	kaem toh1 too hnang seu
2218	くう	食う	ກິນ	kin
2219	くうぇーと	クウェート	ໂກເວດ	koo weet
2220	くうき	空気	ອາກາດ	aa kaat
2221	くうぐん	空軍	ກອງທັບອາກາດ	kohng thap aa kaat
2222	くうこう	空港	ສະຫນາມບິນ	sa hnaam bin
2223	くうしつ	空室	ຫ້ອງວ່າງ	hhohng2 waang1
2224	ぐうすう	偶数	ເລກກູ່	leek kuu1
2225	ぐうぜん	偶然	ບັງເອີນ	bang ern
2226	くーでたー	クーデター	ປະຕິວັດ	pa ti wat
2227	くうふく	空腹	ຢາກກິນເຂົ້າ	yaak kin hkao2
2228	くうふく	空腹	ຫິວ	hhiw
2229	くうふく	空腹	ຫິວເຂົ້າ	hhiw hkao2
2230	くーらー	クーラー	ແອ	ae
2231	くがつ	９月	ກັນຍາ	kan yaa
2232	くがつ	９月	ເດືອນກັນຍາ	deuan kan nyaa
2233	くかん	区間	ລະຍະທາງ	la nya thaang
2234	くき	茎	ລຳຕົ້ນ	lam ton2
2235	くぎ	釘	ຕະປູ	ta puu
2236	くぎる	区切る	ແບ່ງເປັນສ່ວນ	baeng1 pen suan1
2237	くさ	草	ຫຍ້າ	hyaa2
2238	くさい	臭い	ເຫມັນ	hmen
2239	くさり	鎖	ສາຍໂສ້	saay soo2
2240	くさりやすい	腐りやすい	ບູດໄວ	buut wai
2241	くさりやすい	腐りやすい	ເນົ່າໄວ	nao1 wai
2242	くさる	腐る	ບູດ	buut
2243	くさる	腐る	ເນົ່າ	nao1
2244	くし	櫛	ຫວີ	hvii
2245	くし	串	ໄມ້ສຽບ	mai2 siap
2246	くじ	籤	ສະຫລາກ	sa hlaak
2247	くじ	９時	ເກົ້າໂມງ	kao2 moong
2248	くじかん	９時間	ເກົ້າຊົ່ວໂມງ	kao2 xua1 moong
2249	くじゃく	孔雀	ນົກຍູງ	nok nyuung
2250	くしゃみ	くしゃみ	ຈາມ	jaam
2251	くじょうをいう	苦情を・言う	ຮ້ອງທຸກ	hohng2 thuk
2252	くじら	鯨/クジラ	ປາວານ	paa waan
2253	くしん	苦心	ເຮັດວຽກຫນັກ	het wiak hnak
2254	くず	屑	ຂີ້ເຫຍື້ອ	hkii2 hyeua2
2255	くすぐったい	くすぐったい	ກະດຽມ	ka diam
2256	くずす	崩す	ທຳລາຍ	tham laay
2257	くすり	薬	ຢາ	yaa
2258	くすりや	薬屋	ຮ້ານຂາຍຢາ	haan2 hkaay yaa
2259	くすりゆび	薬指	ນິ້ວນາງ	niw2 naang
2260	くずれる	崩れる	ຖືກທຳລາຍລົງ	hteuk tham laay long
2261	くせ	癖	ນິໃສ	ni say
2262	くせん	（～で）苦戦	ຊະນະບໍ່ງ່າຍ	xa na boh1 ngaay1
2263	くそ	糞	ຂີ້	hkii2
2264	くだ	管	ທໍ່	thoh1
2265	ください	（～て）下さい	ກະລຸນາແດ່	ka lu naa dae1
2266	ください	（～を）下さい	ຂໍແດ່	hkoh dae1
2267	ください	（～て）下さい	ເຊີນ	xern
2268	ください	（～を）下さい	ເອົາໃຫ້	ao (~) hhay2
2269	ください	（～て）下さい	ໃຫ້ແດ່	hhay2 dae1
2270	くださる	（～を）下さる	ໃຫ້	hhay2
2271	くだもの	果物	ຫມາກໄມ້	hmaak mai2
2272	くち	口	ປາກ	paak
2273	くちうるさい	口うるさい	ຈູ້ຈີ້	juu2 jii2
2274	くちがうまい	口がうまい	ປາກຫວານ	paak hvaan
2275	くちがおもい	口が重い	ປາກຫນັກ	paak hnak
2276	くちがかるい	口が軽い	ປາກໂປ້ງ	paak poong2
2277	くちがわるい	口が悪い	ປາກບໍ່ດີ	paak boh1 dii
2278	くちがわるい	口が悪い	ເວົ້າບໍ່ດີ	wao2 boh1 dii
2279	くちげんか	口喧嘩	ຖຽງກັນ	htiang kan
2280	くちにふくむ	口に含む	ອົມ	om
2281	くちびる	唇	ສົບ	sob
2282	くちべに	口紅	ລິບສະຕິກ	lip sa tik
2283	くちやかましい	口喧しい	ຈູ້ຈີ້	juu2 jii2
2284	くつ	靴	ເກີບ	kerp
2285	くつあと	靴跡	ຮອຍເກີບ	hohy kerp
2286	くっきー	クッキー	ເຂົ້າຫນົມປັງ	hkao2 hnom pang
2287	くつした	靴下	ຖົງເທົ້າ	htong thao2
2288	くっしょん	クッション	ເບາະ	bo'
2289	くっつく	くっつく	ຕິດຢູ່	tit yuu1
2290	くっつける	くっつける	ຕິດ	tit
2291	くつばこ	靴箱	ຕູ້ໃສ່ເກີບ	tuu2 say1 kerp
2292	くつべら	靴べら	ບວ່ງເກີບ	buang1 kerp
2293	くつや	靴屋	ຮ້ານຂາຍເກີບ	haan2 hkaay kerp
2294	くつをみがく	靴を磨く	ຜັດເກີບ	hpat kerp
2295	くてん	句点	ຈຸດ	jut
2296	くどく	功徳	ບຸນ	bun
2297	くどく	口説く	ລົມສາວ	lom saaw
2298	くに	国	ປະເທດ	pa theet
2299	くに	国	ເມືອງ	meuang
2300	くばる	配る	ແຈກຢາຍ	jaek yaay
2301	くび	首	ຄໍ	khoh
2302	くびかざり	首飾り	ສ້ອຍຄໍ	sohy2 khoh
2303	くびつりじさつ	首吊り自殺	ແຂວນຄໍຂ້າຕົວຕາຍ	hkwaen khoh hkaa2 tua taay
2304	くびに	首	ໄລ່ອອກວຽກ	lai1 ohk wiak
2305	くふう	工夫	ຄິດອອກ	khit ohk
2306	くべつ	区別	ຈຳແນກ	jam naek
2307	くべつ	区別	ແຍກອອກ	nyaek ohk
2308	くま	熊/クマ	ຫມີ	hmii
2309	くみ	（何）組	(ຈັກ)ກຸ່ມ	kum1
2310	くみ	（何）組	(ຈັກ)ຄູ່	khuu1
2311	くみ	（何）組	(ຈັກ)ຊຸດ	xut
2312	くみ	組	ກຸ່ມ	kum1
2313	くみ	組	ຄູ່	khuu1
2314	くみあい	組合	ສະຫະພາບ	sa hha phaap
2315	くむ	汲む	ຕັກ	tak
2316	くむ	組む	ປະກອບ	pa kohp
2317	くも	雲	ຂີ້ເຝື້ອ	hkii2 hfeua2
2318	くも	雲	ເມກ	meek
2319	くも	蜘蛛/クモ	ແມງມຸມ	maeng mum
2320	くものいと	蜘蛛の糸	ໃຍແມງມຸມ	nyay maeng mum
2321	くもり	曇り	ຄຶ້ມ	khuem2
2322	くもり	曇り	ຟ້າບົດ	faa2 bot
2323	くもり	曇り	ຫ້ອງຟ້າມີເມກ	hhohng2 faa2 mii meek
2324	くもる	曇る	ກາຍເປັນຄຶ້ມ	kaay pen khuem2
2325	くやしい	悔しい	ເຈັບໃຈ	jep jay
2326	くらい	位	ຕຳແຫນ່ງ	tam hnaeng1
2327	くらい	くらい	ປະມານ	pa maan
2328	くらい	暗い	ມືດ	meut
2329	ぐらい	ぐらい⇒くらい	ປະມານ	pa maan
2330	くらくしょん	クラクション	ແກ	kae
2331	くらくしょん	クラクション	ແກລົດ	lae lot
2332	くらげ	クラゲ	ແມງກະພຸນ	maeng ka phun
2333	くらげ	クラゲ	ແມງຕະພູນ	maeng ta phuun
2334	くらしっく	クラシック	ກາດສິກ	kaat sik
2335	くらす	暮らす	ອາໃສຢູ່	aa say yuu1
2336	くらすめーと	クラス・メート	ຫມູ່ຫ້ອງຮຽນດຽວກັນ	hmuu1 hhohng2 hian diaw kan
2337	くらっかー	クラッカー	ຈືນເຂົ້າຫນົມບັງ	jeun hkao2 hnom bang
2338	くらっち	クラッチ	ຄາດ	khaat
2339	くらぶ	クラブ	ສະໂມສອນ	sa moo sohn
2340	くらぶ	（～）クラブ	ໄມ້ຕີ	mai2 tii
2341	くらぶかつどう	クラブ活動	ກິດຈະກຳຂອງສະໂມສອນ	kit ja kam hkohng sa moo sohn
2342	くらべる	比べる	ປຽບທຽບ	piap thiap
2343	ぐらまー	グラマー	ນົມໃຫຍ່ງາມ	nom hyay1 ngaam
2344	ぐらむ	（何）グラム	(ຈັກ)ກາມ	kaam
2345	くり	栗	ຫມາກກໍ່	hmaak koh1
2346	くりーにんぐ	クリーニング	ຊັກແຫ້ງ	xak hhaeng2
2347	くりーむ	クリーム	ຄິມ	khim
2348	ぐりーんぴーす	グリーン・ピース	ຫມາກຖົ່ວຂຽວ	hmaak htua1 hkiaw
2349	ぐりーんらんど	グリーン・ランド	ໂກຣແອນລັງ	kroo aen lang
2350	くりかえす	くり返す	ຊ້ຳ	xam2
2351	くりすます	クリスマス	ຄິດສະມາດ	khit sa maat
2352	くりすます	クリスマス	ວັນຄິດສມາດ	wan khids maat
2353	くりにっく	クリニック	ຄລີນິກ	khlii nik
2354	くる	来る	ມາ	maa
2355	くる	（時間が）来る	ຮອດ	hoht
2356	くるう	狂う	ກາຍເປັນບ້າ	kaay pen baa2
2357	ぐるーぷ	グループ	ກຸ່ມ	kum1
2358	ぐるーぷ	グループ	ຄະນະ	kha na
2359	ぐるじあ	グルジア	ເຈອອກເຈຍ	jee ohk jia
2360	くるしい	苦しい	ເຈັບປວດ	jep puat
2361	くるしむ	苦しむ	ຖຶກທໍລະມານ	htuek thoh la maan
2362	くるしめる	苦しめる	ຖຶກທໍລະມານ	htuek thoh la maan
2363	くるま	車	ລົດ	lot
2364	くるま	車	ລົດເກັງ	lot keng
2365	くるまいす	車椅子	ລໍໍ້ຍູ້ຄົນເຈັບ	loh2 nyuu2 khon jep
2366	くるまえび	車えび/クルマエビ	ກຸ້ງນາງ	kung2 naang
2367	くれじっとかーど	クレジット・カード	ບັດເຄດິດ	bat khee dit
2368	ぐれなだ	グレナダ	ເກຣີນາດ	krer naat
2369	くれよん	クレヨン	ສໍສີ	soh sii
2370	くれる	呉れる	ໃຫ້	hhay2
2371	ぐれる	ぐれる	ເສລີບີຮົ່ວ	see lii bii hua1
2372	くろ	黒	ສີດຳ	sii dam
2373	くろあちあ	クロアチア	ໂກຣອາຊີ	kroo aa xii
2374	くろい	黒い	ດຳ	dam
2375	くろう	苦労	ຍາກ	nyaak
2376	くろう	苦労	ລຳບາກ	lam baak
2377	くろすわーどぱずる	クロス・ワード・パズル	ແກມຕໍ່ໂຕຫນັງສື	kaem toh1 too hnang seu
2378	くわ	鍬	ຈົກ	jok
2379	くわ	鍬	ຈົກຂຸດດິນ	jak hkut din
2380	くわえる	(口に)くわえる	ຄາບ	khaap
2381	くわえる	加える	ຕື່ມ	teum1
2382	くわえる	加える	ເພີ່ມ	pherm1
2383	くわえる	加える	ເພີ່ມເຕີມ	pherm1 term
2384	くわしい	詳しい	ລະອຽດ	la iat
2385	くわしい	詳しい	ຮູ້ດີ	huu2 dii
2386	くわしく	詳しく	ລະອຽດ	la iat
2387	ぐん	（～）郡	ເມືອງ	meuang
2388	ぐんぐん	ぐんぐん	ປົ່ງຂຶ້ນຢ່າງໄວວາ	pong1 hkuen2 yaang1 wai waa
2389	くんしょう	勲章	ເຄື່ອງປະດັບຢົດ	kheuang1 pa dap yot
2390	ぐんじん	軍人	ທະຫານ	tha hhaan
2391	ぐんたい	軍隊	ກອງທັບທະຫານ	kohng thap tha hhaan
2392	ぐんぶ	郡部	ຊົນນະບົດ	xon na bot
2393	ぐんようき	軍用機	ຍົນທະຫານ	nyon tha hhaan
2394	くんれん	訓練	ຝຶກ	hfuek
2395	くんれん	訓練	ອົບຮົມ	op hom
2396	け	毛（=体毛）	ຂົນ	hkon
2397	け	毛（=毛髪）	ຜົມ	hpom
2398	けい	形	ຮູບ	huup
2399	けいいをひょうする	敬意を表する	ໄຫວ້	hvai2
2400	けいえい	経営	ທຸລະກິດ	thu la kit
2401	けいえい	経営	ປະກອບກິດຈະການ	pa kohp kit ja kaan
2402	けいえいしゃ	経営者	ຜູ້ຈັດການ	hpuu2 jat kaan
2403	けいえいしゃ	経営者	ຜູ້ບໍລິຫານ	hpuu2 boh li hhaan
2404	けいかい	警戒	ລະມັດລະວັງ	la mat la wang
2405	けいかく	計画	ໂຄງການ	khoong kaan
2406	けいかん	警官	ນາຍຕຳຫລວດ	naay tam hluat
2407	けいき	景気	ສະພາບເສດຖະກິດ	sa phaap seet hta kit
2408	けいけん	経験	ປະສົບການ	pa sop kaan
2409	けいけん	敬虔	ສັດທາ	sat thaa
2410	けいこう	傾向	ແນວໂນ້ມ	naew noom2
2411	けいこうとう	蛍光灯	ເຮືອນດອກໄຟຟ້າ	heuan dohk fai faa2
2412	けいこうらんぷ	蛍光ランプ	ດອກໄຟຟ້າ	dohk fai faa2
2413	けいこく	渓谷	ເຫວເລິກ	heew loek
2414	けいざい	経済	ເສດຖະກິດ	seet hta kit
2415	けいざいがく	経済学	ເສດຖະສາດ	seet hta saat
2416	けいざいきき	経済危機	ວິກິດທາງເສດຖະກິດ	wi kit thaang seet hta kit
2417	けいざいせいちょう	経済成長	ເສດຖະກິດກ້າວຫນ້າ	seet hta kit kaaw2 hnaa2
2418	けいさつ	警察	ຕຳຫລວດ	tam hluat
2419	けいさつかん	警察官	ນາຍຕຳຫລວດ	naay tam hluat
2420	けいさつしょ	警察署	ສະຖານນີຕຳຫລວດ	sa htaan nii tam hluat
2421	けいさつしょう	警察省	ກະຊວງປ້ອງການຄວາມສະຫງົບ	ka xuang pohng2 kaan kwaam sa hngop
2422	けいさん	計算	ຄິດໄລ່	khit lai1
2423	けいさん	計算	ຄຳນວນ	kham nuan
2424	けいさんき	計算機	ຈັກຄິດໄລ່	jak khit lai1
2425	けいし	軽視	ເບິ່ງຄືວ່າເບົາ	boeng1 kheu waa1 bao
2426	けいしき	形式	ພິທີການ	phi thii kaan
2427	けいじばん	掲示板	ປ້າຍຕິດປະກາດ	paay2 tit pa kaat
2428	けいしゃ	傾斜	ລະດັບຄວາມເນີ້ງ	la dap khwaam nerng2
2429	げいじゅつ	芸術	ສິລະປະ	sii la pa
2430	げいじゅつか	芸術家	ນັກສີລະປິນ	nak sii la pin
2431	げいじゅつひん	芸術品	ສີລະປະກຳ	sii la pa kam
2432	けいたい	携帯	ມືຖື	meu hteu
2433	けいたいでんわ	携帯電話	ໂທລະສັບມືຖື	thoo la sap meu hteu
2434	けいと	毛糸	ໄຫມພົມ	hmai phom
2435	けいど	経度	ເສັ້ນແວງ	sen2 waeng
2436	けいば	競馬	ຊ່ວງມ້າ	xuang1 maa2
2437	けいば	競馬	ແຂ່ງມ້າ	hkaeng1 maa2
2438	けいばじょう	競馬場	ສະຫນາມມ້າ	sa hnaam maa2
2439	けいひ	経費	ຄ່າໃຊ້ຈ່າຍ	khaa1 xay2 jaay1
2440	けいび	警備	ຍາມ	nyaam
2441	けいびいん	警備員	ຄົນຍາມ	khon nyaam
2442	けいひん	景品	ໂບນັດ	boo nat
2443	けいべつ	軽蔑	ດູຖູກ	duu htuuk
2444	けいほうべる	警報ベル	ກະດິ່ງສັນຍານໄຟໄຫມ້	ka ding1 san nyaan fai hmai2
2445	けいまんしょとう	ケイマン諸島	ກາຍມັນ	kaay man
2446	けいむしょ	刑務所	ຄຸກ	khuk
2447	けいむしょにはいる	刑務所に入る	ຕິດຄຸກ	tit khuk
2448	けいやく	契約	ສັນຍາ	san nyaa
2449	けいやくしょ	契約書	ຫນັງສືສັນຍາ	hnang seu san nyaa
2450	けいようし	形容詞	ຄຳຄຸນນາມ	kham khun naam
2451	けいらん	鶏卵	ໄຂ່ໄກ່	hkai1 kai1
2452	けいり	経理	ບັນຊີ	ban xii
2453	けいりょう	計量	ຕວງເບິ່ງ	tuang boeng1
2454	けいりょうかっぷ	計量カップ	ຈອກຕວງ	johk tuang
2455	けいれん	痙攣	ຈັງ	jang
2456	けーき	ケーキ	ເຄັກ	khek
2457	けーぷべるで	ケープ・ベルデ	ກັບແວກ	kap waek
2458	けーぶるかー	カーブル・カー	ລົດເຄເບີ້ນ	lot khee bern2
2459	げーむ	ゲーム	ເກມ	keem
2460	けーん	ケーン	ແຄນ	khaen
2461	けが	怪我	ບາດເຈັບ	baat jep
2462	げか	外科	ຫ້ອງກວດພະຍາດພາຍນອກ	hhohng2 kuat pha nyaat phaay nohk
2463	げかい	外科医	ທ່ານຫມໍກວດພະຍາດພາຍນອກ	thaan1 hmoh kuat pha nyaat phaay nohk
2464	げかしゅじゅつ	外科手術	ການຜ່າຕັດ	kaan hpaa1 tat
2465	げかしゅじゅつい	外科手術医	ແພດຜ່າຕັດ	phaet hpaa1 tet
2466	げき	劇	ລະຄອນ	la khohn
2467	げきじょう	劇場	ໂຮງລະຄອນ	hoong la khohn
2468	げこう	下校	ເລີກໂຮງຮຽນ	lerk hoong hian
2469	けさ	今朝	ມື້ເຊົ້ານີ້	meu2 xao2 nii2
2470	げざい	下剤	ຢາຖ່າຍ	yaa htaay1
2471	けし	ケシ	ດອກຝິ່ນ	dohk hfin1
2472	けし	芥子	ຝິ່ນ	hfin1
2473	けしき	景色	ທິວທັດ	thiw that
2474	けしごむ	消しゴム	ຢາງລຶບ	yaang luep
2475	げじゅん	下旬	ປາຍດືອນ	paay deuan
2476	けしょう	化粧	ແຕ່ງຫນ້າ	taeng1 hnaa2
2477	けしょうひん	化粧品	ເຄື່ອງສໍາອາງ	kheuang1 sam aang
2478	けす	消す	ປິດ	pit
2479	けす	消す	ມອດ	moht
2480	けす	消す	ລຶບ	luep
2481	げすとはうす	ゲスト・ハウス	ເຮືອນພັກ	heuan phak
2482	けずる	削る	ຝານ	hfaan
2483	けた	（なん）桁	(ຈັກ)ແຖວ	htaew
2484	けち	けち	ຂີ້ຖີ່	hkii2 htii1
2485	けちゃっぷ	ケチャップ	ນ້ຳຫນາກເລັ່ນ	nam2 hnaak len1
2486	けつあつ	血圧	ຄວາມດັນ	khwaam dan
2487	けつえき	血液	ເລືອດ	leaut
2488	けつえきがた	血液型	ຫມວດເລືອດ	hmuat leuat
2489	けっか	結果	ຜົນ	hpon
2490	けっか	結果	ຜົນງານ	hpon ngaan
2491	けっかく	結核	ວັນນະໂລກ	wan na look
2492	けっかん	血管	ເສັ້ນເລືອດ	sen2 leuat
2493	げっかん	月刊	ປະຈຳເດືອນ	pa jam deuan
2494	げっきゅう	月給	ເງິນເດືອນ	ngoen deuan
2495	けっきょく	結局	ສຸດທ້າຍ	sut thaay2
2496	げっけい	月経	ຮອບເດືອນ	hohp deuan
2497	けっこう	結構	ແທ້ໆ	thae2 #
2498	けっこん	結婚	ສ້າງຄອບຄົວ	saang2 khohp khua
2499	けっこん	結婚	ແຕ່ງງານ	taeng1 ngaan
2500	けっこんしき	結婚式	ກິນດອງ	kin dohng
2501	けっこんしき	結婚式	ພິທີແຕ່ງງານ	phi thii1 taeng1 ngaan
2502	けっして	決して（～ない）	ບໍ່ເຄີຍ	boh1 khery
2503	けっしん	決心	ຕົກລົງໃຈ	tok long jay
2504	けっせき	欠席	ຂາດ	hkaat
2505	けっせき	欠席	ບໍ່ຢູ່	boh1 yuu1
2506	けっせき	結石	ຫນິ້ວ	hniw2
2507	けっせん	血栓	ກ້ອນເລືອດອຸດຕັນ	hohn2 leuat ut tan
2508	けってい	決定	ຕັດສິນ	tat sin
2509	けってん	欠点	ຈຸດຜິດພາດ	jut hpit phaat
2510	けってん	欠点	ຈຸດອ່ອນ	jut ohn1
2511	げっぷ	月賦	ເງິນດາວ	ngoen daaw
2512	げっぷ	月賦	ເງິນຜ່ອນ	ngoen hpohn1
2513	げっぷ	ゲップ	ເອື້ອມ	euam2
2514	けつまくえん	結膜炎	ໂລກຕາແດງ	look taa daeng
2515	げつめんきち	月面基地	ຖານທັບເທິງດວງຈັນ	htaan thap thoeng duang jan
2516	げつよう	月曜（日）	ວັນຈັນ	wan jan
2517	けつろん	結論	ບົດສະຫລຸບ	bot sa hlup
2518	けども	けど（も）	ແຕ່ວ່າ	tae1 waa1
2519	けなす	けなす	ຕິ	ti
2520	けなす	けなす	ຕິຊົມ	ti xom
2521	けにあ	ケニア	ເກນຢາ	keen yaa
2522	げねつざい	解熱剤	ຢາດີໄຂ້	yaa dii hkai2
2523	けむり	煙	ຄວັນ	khwan
2524	けむり	煙	ຄັວນ	khua'n
2525	けもの	獣	ສັດໃຫຍ່	sat hyay1
2526	げり	下痢	ຖອກທ້ອງ	htohk thohng2
2527	げり	下痢	ໂລກຂີ້ຮາກ	look hkii2 haak
2528	げりどめ	下痢止め	ຢາດີເຈັບທ້ອງ	yaa dii jep thohng2
2529	ける	蹴る	ເຕະ	te
2530	けれども	けれど（も）	ແຕ່	tae1
2531	けれども	けれど（も）	ແຕ່ວ່າ	tae1 waa1
2532	けん	（何）軒	(ຈັກ)ຫລັງ	hlang
2533	けん	剣	ດາບ	daap
2534	けん	券	ປີ້	pii2
2535	けん	県	ແຂວງ	hkwaeng
2536	げんいん	原因	ສາເຫດ	saa hheet
2537	けんか	喧嘩	ຕີກັນ	tii kan
2538	けんか	喧嘩	ຜິດກັນ	hpit kan
2539	けんがく	見学	ທັດສະນະສຶກສາ	that sa na suek saa
2540	げんかん	玄関	ປະຕູຫນ້າ	pa tuu hnaa2
2541	げんき	元気	ກຳລັງ	kam lang
2542	げんき	元気	ສະບາຍດີ	sa baay dii
2543	げんき	元気	ແຂງແຮງດີ	hkaeng haeng dii
2544	げんきですか	（お）元気ですか	ສະບາຍດີບໍ	sa baay dii boh
2545	げんきですか	（お）元気ですか	ແຂງແຮງດີບໍ່	hkaeng haeng dii boh1
2546	けんきゅう	研究	ຄົ້ນຄວ້າ	khon2 khwaa2
2547	けんきゅう	研究	ວິໄຈ	wi jai
2548	けんきゅうしょ	研究所	ສະຖາບັນ	sa htaa ban
2549	げんきん	現金	ເງິນສົດ	ngoen sot
2550	げんご	言語	ພາສາ	phaa saa
2551	けんこう	健康	ສຸຂະພາບ	su hka phaap
2552	けんこうこつ	肩甲骨	ກະດູກບ່າ	kaduuk baa1
2553	けんこうしんだん	健康診断	ກວດສຸຂະພາບ	kuat su hka phaap
2554	げんごがく	言語学	ພາສາສາດ	phaa saa saat
2555	けんさ	検査	ກວດ	kuat
2556	げんざい	現在	ປະຈຸບັນ	pa ju ban
2557	げんざんち	原産地	ບ່ອນຜະລິດ	bohn1 hpa lit
2558	けんじ	検事	ໄອຍະການ	ai nya kaan
2559	げんじつ	現実	ແທ້ຈິງ	thae2 jing
2560	げんしばくだん	原子爆弾	ລະເບີດປະລະມານູ	la bert pa la maa nuu
2561	けんしゅう	研修	ສຶກສາ	suek saa
2562	けんしゅう	研修	ເຝິກງານ	hfoek ngaan
2563	けんじゅう	拳銃	ປືນພົກ	peun phok
2564	げんしょう	現象	ປະກົດການ	pa kot kaan
2565	げんしりょく	原子力	ປະລຳມະນູ	pa lam ma nuu
2566	げんしりょくはつでんしょ	原子力発電所	ໂຮງໄຟຟ້າປະລຳມະນູ	hoong fai faa2 pa la ma nuu
2567	けんしん	検診	ກວດໂລກ	kuat look
2568	けんせつ	建設	ກໍ່ສ້າງ	koh1 saang2
2569	けんせつぎょう	建設業	ບໍລິສັດກໍ່ສ້າງ	boh li sat koh1 saang2
2570	けんせつしょう	建設省	ກະຊວງກໍ່ສ້າງ	ka xuang koh1 saang2
2571	げんぞう	現像	ລ້າງຮູບ	laang2 huup
2572	げんぞく	還俗	ສິກ	sik
2573	げんだい	現代	ຊູ່ມື້ນີ້	xuu1 meu2 nii2
